CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
EVTDESC170;Se vogliamo liberare noi e i nostri fratelli dalle tribolazioni devastanti e dalle degenerazioni dell'alcol e dell'alcolismo, non c'è niente che ci aiuti meglio dell'astinenza completa e totale, sempre. Che bene trarremmo dall'essere liberi dagli oppressori capitalisti, se poi ci troveremmo oppressi dalle tirannie gemelle di vizio e pessime abitudini?’\n\Siccome gli effetti negativi dell'alcolismo dilagante hanno colpito soprattutto i ceti più poveri, la lega della temperanza è riuscita a trovare degli alleati nel movimento socialista. Agitatori socialisti locali in uno dei nostri stati stanno discutendo contro l'uso dell'alcol.;Car si nous voulons être libres, nous et nos frères, sans les tribulations dévastateurs et les dégénérescences de l'alcool et l'alcoolisme, rien ne nous sert mieux que l'abstinence complète et totale. A quoi bon tout faire pour être libre de nos oppresseurs capitalistes, que de nous trouver bientôt opprimés par la tyrannie du vice et de nos laides habitudes.\n\n Depuis les effets négatifs de l'alcoolisme généralisé ont frappé les plus pauvres des classes les plus difficiles, la ligue de modération a réussi à trouver des alliés, au sein du mouvement socialiste. La main-d'œuvre locale d’une de nos provinces est contre l'utilisation de l'alcool.;Denn wenn wir uns und unsere Brüder von der zerstörerischen Drangsal und Degeneration des Alkohols und des Alkoholismus befreien wollen, so kann uns nichts besser dienen als komplette und totale Abstinenz auf immer. Was hätten wir davon, von unseren kapitalistischen Unterdrückern frei zu sein, nur um uns stattdessen unter dem Zwillingsjoch von Laster und schlechten Gewohnheiten wiederzufinden?'\n\nDa die negativen Effekte von weit verbreitetem Alkoholismus die ärmsten Klassen am schlimmsten getroffen haben, hat die Abstinenzlerbewegung bei den Sozialisten Verbündete gefunden. Lokale Agitatoren der Arbeiterbewegung in einem unserer Staaten argumentieren gegen Alkoholgenuss.;;;;;;;;;;;x
EVTNAME170;Temperanza e socialisti;Les socialistes et l'alcool;Abstinenz & Arbeit;;;;;;;;;;;x
EVTOPTA170;Lasciamoli lavorare indisturbati;Laissons-les travailler.;Lasst sie in Frieden werken;;;;;;;;;;;x
EVTOPTB170;Dobbiamo opporci ai socialisti;Les socialistes doit être opposés à tout changement.;Man muss den Sozialisten bei jeder Gelegenheit Paroli bieten;;;;;;;;;;;x
EVTDESC180;Silenzio, ragazzi, ancora per pochi secondi. Appena quella guardia si distrarrà oltrepasseremo il confine. Ci sono migliaia gole assetate a $CAPITAL$ che hanno appena ordinato un bicchiere da queste botte.’\n\nIl proibizionismo ha creato un florido mercato per il contrabbando del gin. Dai paesi vicini, in segreto, ovunque birrerie e distillerie illegali, un esercito di nascosti, lavora tutto il giorno per procurare alle persone le scelte più raffinate di alcolici che si possano immaginare. La polizia ha ricevuto informazioni riguardo un carico di alcol illegale che stasera entrerà in uno dei nostri stati.;Silence les garçons, juste quelques secondes de plus. Une fois que la garde sera loin, nous nous faufilerons à travers la frontière. Il y a milles gosiers assoiffés dans $CAPITAL$ qui attendent un verre de ces fûts.\n\n La prohibition a créé un marché lucratif pour les entreprises d’alcool. Dans les provinces voisines, et en secret, les brasseries et distilleries envoyent une armée d'ouvriers invisibles travaillant nuit et jour pour offrir à tout un chacun le plus ample choix d'essences de bois et d'alcool frelaté. La police a reçu des nouvelles qu’un transfert d'alcool illégal serait entré hier soir dans une de nos provinces.;Ruhe, Jungs, nur noch ein paar Sekunden. Sobald der Wachmann da drüben wegschaut, schleichen wir über die Grenze. In $CAPITAL$ sind tausend durstige Kehlen, die gerade ein Glas aus diesen Fässern hier bestellt haben.'\n\nDie Prohibition hat den Ginschmuggel zu einem lukrativen Markt gemacht. In Nachbarländern und geheimen Untergrundbrauereien überall arbeitet eine Armee Unsichtbarer rund um die Uhr, um die Bevölkerung mit den besten Farbverdünnern, Holzbränden und Moonshine zu versorgen. Der Polizei ist zu Ohren gekommen, dass eine Ladung illegalen Alkohols heute Abend in einen unserer Staaten geliefert wird.;;;;;;;;;;;x
EVTNAME180;Trafficanti di gin clandestino;Alcool de contrebande;Ginschmuggler & Moonshine;;;;;;;;;;;x
EVTOPTA180;Lascia passare il carico;Laisser entrer la cargaison;Lasst die Fracht durch;;;;;;;;;;;x
EVTOPTB180;Ferma il carico;Arrêter la cargaison;Stoppt die Ladung;;;;;;;;;;;x
EVTDESC185;La Lega $COUNTRY_ADJ$ della Temperanza è stata sempre più attiva in uno dei nostri stati quest'anno, con lo scopo di chiudere i bar locali e far fallire i mercanti di liquore. Molti dei loro membri più attivi in politica si sono avvicinati ad ufficiali governativi a $CAPITAL$, tentando di ottenere un supporto maggiore per la loro campagna.;;;;;;;;;;;;;x
EVTNAME185;Proibizionismo $COUNTRY_ADJ$?;;;;;;;;;;;;;x
EVTOPTA185;Supporta il movimento.;;;;;;;;;;;;;x
EVTOPTB185;Fandonie. Stanno esagerando.;;;;;;;;;;;;;x
EVTDESC186;La cultura libertina in $COUNTRY$ ha fatto sollevare delle critiche, viste le notizie di uno scandalo che comprende anche i vertici del governo. Diversi ministri sono accusati di rapporti disgustosi e ci sono richieste a $CAPITAL$ verso il governo di supportare i gruppi religiosi nelle loro battaglie per la moderazione e la temperanza.;;;;;;;;;;;;;x
EVTNAME186;Libertini nel nostro paese;;;;;;;;;;;;;x
EVTOPTA186;Non c'è bisogno di fare ciò.;;;;;;;;;;;;;x
EVTOPTB186;È meglio avere un po' di compostezza.;;;;;;;;;;;;;x
EVTDESC190;In uno dei nostri stati si è formata un'associazione viticola, che si oppone agli eccessi degli astemi e degli attivisti per la temperanza. Dedicata alla preservazione di ciò che chiamano ricco patrimonio culturale $COUNTRY_ADJ$ espresso nelle tradizioni e nei rituali riguardanti l'alcol, l'Associazione Vinicola si oppone a qualunque idea di proibizionismo e, invece, sostiene il concetto di bere responsabilmente.;Une association viticole s'est formée dans l'une de nos provinces, par opposition aux excès perçus de buveurs d'eau et des militants de la modération. Dédié à la préservation de ce qu'ils appellent le riche patrimoine culturel de $COUNTRY_ADJ$ en mettant en avant les traditions et les rituels entourant l'alcool, l'association viticole s'oppose à toute idée d'interdiction, et préconise plutôt la consommation responsable.;Eine Weinbauvereinigung wurde in einem unserer Staaten ins Leben gerufen, als Gegenstimme gegen die Exzesse der Abstinenzlerbewegung. Die Weinbauvereinigung hat sich die Bewahrung der reichen Kultur in $COUNTRY_ADJ$ auf ihre Fahnen geschrieben, eine Kultur, die sich in den Traditionen und Ritualen um den Alkohol ausdrückt. Die Weinbauvereinigung steht allen Versuchen der Prohibition entgegen und rät stattdessen zu verantwortungsvollem Alkoholgenuss.;;;;;;;;;;;x
EVTNAME190;Associazione viticola;Association viticole;Weinbauvereinigung;;;;;;;;;;;x
EVTOPTA190;…dove ci si iscrive?;… Où est-ce que je signe ?;… wo unterschreib ich?;;;;;;;;;;;x
EVTOPTB190;Bere è, per definizione, irresponsabile.;Par définition, boire est un acte irresponsable.;Trinken ist unverantwortlich. Basta.;;;;;;;;;;;x
